,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,123,124,126,127,128,129,130,131,132,133,134,135,136,137,139,140,141,142,144,146,148,149,150,152,153,154,156,157,162,163,166,167,168,169,170,171,173,174,175,176,177,178,179,180,182,183,184,186,187,189,190,192,193,194,195,196,197,198,199,312,501,502,503,504,505,506,507,508,509,510,511,513,518,522,523,524,529,515
winrate,0.40622081,0.621831806,0.541406594,0.517897065,0.462768565,0.508153253,0.625850673,0.737643976,0.535161112,0.406773415,0.479942223,0.487789683,0.422760717,0.577262971,0.635773928,0.417328525,0.495808942,0.378651647,0.548209084,0.435557147,0.422007367,0.490531854,0.393873037,0.561670426,0.45157805,0.632123261,0.672920302,0.422438506,0.465377601,0.546114563,0.383255022,0.430842215,0.275064866,0.447740192,0.49052947,0.62977257,0.490887413,0.618339831,0.501855012,0.388456462,0.698070411,0.507536417,0.438755697,0.566211145,0.689466987,0.552432595,0.499823592,0.404241563,0.333422008,0.368180412,0.770669689,0.454867528,0.435010745,0.78483233,0.681820388,0.325119105,0.580920231,0.644026698,0.405794485,0.481514531,0.400279588,0.499031146,0.511454625,0.429732907,0.339466371,0.432411583,0.332650485,0.512202892,0.770541125,0.578151092,0.342451079,0.379365311,0.628852934,0.683368211,0.577987798,0.685246448,0.501602577,0.335322316,0.519593769,0.308476436,0.499173744,0.415489085,0.420411337,0.364444203,0.768573123,0.391841338,0.222732883,0.443924405,0.380878657,0.644970644,0.396461241,0.505032759,0.543570546,0.519777235,0.601674809
id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,96,97
